Model Name,Average Time(ms)
VGG16,480.85
VGG19,537.99
MobileNetV2,217.20
InceptionResNetV2,950.52
DenseNet,926.53
Xception,436.19
NASNet,1741.77

traffic_light.png

Model Name/Label,Probability
VGG16/traffic_light,0.95
VGG19/traffic_light,0.97
MobileNetV2/traffic_light,0.83
InceptionResNetV2/traffic_light,0.83
DenseNet/traffic_light,0.84
Xception/traffic_light,0.80
NASNet/traffic_light,0.83

stop_sign.png

Model Name/Label,Probability
VGG16/street_sign,0.22
VGG19/traffic_light,0.20
MobileNetV2/street_sign,0.68
InceptionResNetV2/street_sign,0.35
DenseNet/street_sign,0.89
Xception/street_sign,0.83
NASNet/street_sign,0.73

sedan.png

Model Name/Label,Probability
VGG16/minivan,0.45
VGG19/minivan,0.76
MobileNetV2/minivan,0.39
InceptionResNetV2/minivan,0.90
DenseNet/minivan,0.62
Xception/minivan,0.37
NASNet/minivan,0.79

